	Kategorie	Nummer	Bezeichnung Kategorie	Anmerkungen	Zuordnung unsicher		mehrdeutig		diskutieren!		Kontext (SteA-Text)
abisolierwerkzeug	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Erfahrung im Umgang mit Abisolierwerkzeugen und Crimpzangen
abroller	(7C) LKW	(7C)	LKW								Erfahrung mit Abroller und Hänger wünschenswert  Erfahrung mit Abroller und Hänger
drahtb<fc>rst	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug	drahtbürste?							NA
 materialförderanlage	(2D) computergesteuerte, automatische Anlagen (u.a. automatische Lagersysteme, Abfüllanlagen)	(2D)	computergesteuerte, automatische Anlagen (u.a. automatische Lagersysteme, Abfüllanlagen)								Reparatur der Trockner und Materialförderanlagen
plasmaschneideanlage	(2D) computergesteuerte, automatische Anlagen (u.a. automatische Lagersysteme, Abfüllanlagen)	(2D)	computergesteuerte, automatische Anlagen (u.a. automatische Lagersysteme, Abfüllanlagen)								Service für Schweißmaschinen und Plasmaschneideanlagen
produktions-roboter-maschine	(2D) computergesteuerte, automatische Anlagen (u.a. automatische Lagersysteme, Abfüllanlagen)	(2D)	computergesteuerte, automatische Anlagen (u.a. automatische Lagersysteme, Abfüllanlagen)								Errichtung/Erweiterung von elektrischen Anlagen (Produktions-Roboter-Maschinen / Schaltschränke)
schneideanlage	(2D) computergesteuerte, automatische Anlagen (u.a. automatische Lagersysteme, Abfüllanlagen)	(2D)	computergesteuerte, automatische Anlagen (u.a. automatische Lagersysteme, Abfüllanlagen)								Montage von Schneideanlagen und Absauganlagen
trennschneidanlage	(2D) computergesteuerte, automatische Anlagen (u.a. automatische Lagersysteme, Abfüllanlagen)	(2D)	computergesteuerte, automatische Anlagen (u.a. automatische Lagersysteme, Abfüllanlagen)								Aufbau, Inbetriebnahme und Überprüfung von CNC Werkzeugmaschinen und Trennschneidanlagen
druckluftanlage	(2E) Anlagen zur Energieerzeugung und -umwandlung	(2E)	Anlagen zur Energieerzeugung und -umwandlung								beschäftigt sich mit dem Vertrieb von Druckluftanlagen und Anlagen zur atmosphärischen  Ihr Aufgabengebiet umfasst die Montage von Baugruppen, Modifizierung von Geräten/Anlagen, den Schaltschrankbau und die Wartung, Instandsetzung und Inbetriebnahme unserer Maschinen (Druckluftanlagen, Luftentfeuchtungsanlagen).
brennwertanlage	(2E) Anlagen zur Energieerzeugung und -umwandlung	(2E)	Anlagen zur Energieerzeugung und -umwandlung								Unser Spezialgebiet ist die Heizungssanierung bzw. Umstellung auf energiesparende Anlagen wie Solar, Wärmepumpen und Brennwertanlagen im Bereich Öl und Gas.
